dataset,size,algorithm,avg_time_us,avg_symbol_operations
random,100,quick_sort,37.4,14813.4
random,100,merge_sort,71.8,601.4
random,100,string_quick_sort,7.4,650.2
random,100,string_merge_sort,60,601.4
random,100,msd_radix_sort,26.2,176.4
random,100,msd_radix_sort_with_quick_sort,3.8,156.4
random,200,quick_sort,77.4,29747.6
random,200,merge_sort,148,1498.4
random,200,string_quick_sort,15.8,1357.8
random,200,string_merge_sort,133.2,1498.4
random,200,msd_radix_sort,111.4,390.6
random,200,msd_radix_sort_with_quick_sort,8.6,416.4
random,300,quick_sort,110.6,43610.8
random,300,merge_sort,280.8,2520.8
random,300,string_quick_sort,27.8,2445.8
random,300,string_merge_sort,222.8,2520.8
random,300,msd_radix_sort,34.2,611.4
random,300,msd_radix_sort_with_quick_sort,14.4,733.4
random,400,quick_sort,131.4,59640.8
random,400,merge_sort,300.4,3648.4
random,400,string_quick_sort,34.8,3253.4
random,400,string_merge_sort,250,3648.4
random,400,msd_radix_sort,30.8,821
random,400,msd_radix_sort_with_quick_sort,15.8,1101.2
random,500,quick_sort,135.6,74309.6
random,500,merge_sort,311.6,4835.4
random,500,string_quick_sort,39.8,4287
random,500,string_merge_sort,275.6,4835.4
random,500,msd_radix_sort,29.6,1048
random,500,msd_radix_sort_with_quick_sort,16.4,1499
random,600,quick_sort,140.4,89809
random,600,merge_sort,322.8,6133.8
random,600,string_quick_sort,36.4,5400
random,600,string_merge_sort,277.8,6133.8
random,600,msd_radix_sort,25.4,1258.8
random,600,msd_radix_sort_with_quick_sort,16.8,1950.4
random,700,quick_sort,144.4,107298
random,700,merge_sort,341.4,7423.8
random,700,string_quick_sort,38.4,6217.6
random,700,string_merge_sort,305,7423.8
random,700,msd_radix_sort,27.4,1483.8
random,700,msd_radix_sort_with_quick_sort,18.8,2397
random,800,quick_sort,152,123531
random,800,merge_sort,360.6,8780.8
random,800,string_quick_sort,40.4,7564.8
random,800,string_merge_sort,321.4,8780.8
random,800,msd_radix_sort,27.6,1703.8
random,800,msd_radix_sort_with_quick_sort,20.2,2907.6
random,900,quick_sort,159.6,137869
random,900,merge_sort,371.4,10161
random,900,string_quick_sort,43.6,8866.4
random,900,string_merge_sort,344,10161
random,900,msd_radix_sort,29,1939.4
random,900,msd_radix_sort_with_quick_sort,21.4,3415.2
random,1000,quick_sort,173.4,154048
random,1000,merge_sort,399.4,11567.2
random,1000,string_quick_sort,46.8,10170.2
random,1000,string_merge_sort,379,11567.2
random,1000,msd_radix_sort,32,2177.8
random,1000,msd_radix_sort_with_quick_sort,24.4,3925.4
random,1100,quick_sort,183.2,169649
random,1100,merge_sort,426.4,13069.4
random,1100,string_quick_sort,51.4,11971.4
random,1100,string_merge_sort,403.2,13069.4
random,1100,msd_radix_sort,31.8,2404
